Symbol,CompanyName
ANANTRAJ,Anant Raj Limited
ANDHRAPAP,Andhra Paper Limited
ANDHRSUGAR,The Andhra Sugars Limited
ANGELONE,Angel One Limited
ANIKINDS,Anik Industries Limited
ANKITMETAL,Ankit Metal & Power Limited
ANMOL,Anmol India Limited
ANSALAPI,Ansal Properties & Infrastructure Limited
ANTGRAPHIC,Antarctica Limited
ANUP,The Anup Engineering Limited
ANURAS,Anupam Rasayan India Ltd
APARINDS,APAR Industries Limited
APCL,Anjani Portland Cement Limited
APCOTEXIND,Apcotex Industries Limited
APEX,Apex Frozen Foods Limited
APLAPOLLO,APL Apollo Tubes Limited
APLLTD,Alembic Pharmaceuticals Limited
APOLLO,Apollo Micro Systems Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOPIPE,Apollo Pipes Limited
APOLLOTYRE,Apollo Tyres Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
APTECHT,Aptech Limited
APTUS,Aptus Value Housing Finance India Limited
ARCHIDPLY,Archidply Industries Limited
ARCHIES,Archies Limited
ARE&M,Amara Raja Energy & Mobility Limited
ARENTERP,Rajdarshan Industries Limited
ARIES,Aries Agro Limited
ARIHANTCAP,Arihant Capital Markets Limited
ARIHANTSUP,Arihant Superstructures Limited
ARMANFIN,Arman Financial Services Limited
AROGRANITE,Aro Granite Industries Limited
ARROWGREEN,Arrow Greentech Limited
ARSHIYA,Arshiya Limited
ARSSINFRA,ARSS Infrastructure Projects Limited
ARTEMISMED,Artemis Medicare Services Limited
ARTNIRMAN,Art Nirman Limited
ARVEE,Arvee Laboratories (India) Ltd.
ARVIND,Arvind Limited
ARVINDFASN,Arvind Fashions Limited
ARVSMART,Arvind SmartSpaces Limited
ASAHIINDIA,Asahi India Glass Limited
ASAHISONG,Asahi Songwon Colors Limited
ASAL,Automotive Stampings and Assemblies Limited
ASALCBR,Associated Alcohols & Breweries Limited
ASHAPURMIN,Ashapura Minechem Limited
ASHIANA,Ashiana Housing Limited
ASHIMASYN,Ashima Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKAMET,Ashoka Metcast Limited
ASHOKLEY,Ashok Leyland Limited
ASIANENE,Asian Energy Services Limited
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,Asian Paints Limited
ASIANTILES,Asian Granito India Limited
ASKAUTOLTD,Unknown
ASMS,Bartronics India Limited
ASPINWALL,Aspinwall and Company Limited
ASTEC,Astec LifeSciences Limited
ASTERDM,Aster DM Healthcare Limited
ASTRAL,Astral Limited
ASTRAMICRO,Astra Microwave Products Limited
ASTRAZEN,AstraZeneca Pharma India Limited
ASTRON,Astron Paper & Board Mill Limited
ATALREAL,Atal Realtech Limited
ATAM,Atam Valves Limited
ATFL,Agro Tech Foods Limited
ATGL,Adani Total Gas Limited
ATL,Allcargo Terminals Limited
ATLANTAA,Atlantaa Limited
ATUL,Atul Ltd
ATULAUTO,Atul Auto Limited
AUBANK,AU Small Finance Bank Limited
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AURUM,Aurum PropTech Limited
AUSOMENT,AuSom Enterprise Limited
AUTOAXLES,Automotive Axles Limited
AUTOIND,Autoline Industries Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
AVALON,Avalon Technologies Limited
AVANTEL,Avantel Limited
AVANTIFEED,Avanti Feeds Limited
AVG,AVG Logistics Limited
AVONMORE,Avonmore Capital & Management Services Limited
AVROIND,Avro India Limited
AVTNPL,AVT Natural Products Limited
AWFIS,Unknown
AWHCL,Antony Waste Handling Cell Limited
AWL,Adani Wilmar Limited
AXISBANK,Axis Bank Limited
AXISCADES,AXISCADES Technologies Limited
AXITA,Axita Cotton Limited
AYMSYNTEX,AYM Syntex Limited
AZAD,Unknown
BAFNAPH,Bafna Pharmaceuticals Limited
BAGFILMS,B.A.G. Films and Media Limited
BAIDFIN,Baid Finserv Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHCARE,Bajaj HealthCare Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJEL,Bajel Projects Limited
BAJFINANCE,Bajaj Finance Limited
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALAXI,Balaxi Pharmaceuticals Limited
BALKRISHNA,Balkrishna Paper Mills Limited
BALKRISIND,Balkrishna Industries Limited
BALMLAWRIE,Balmer Lawrie & Co. Ltd.
BALPHARMA,Bal Pharma Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BALUFORGE,Balu Forge Industries Limited
BANARBEADS,Banaras Beads Limited
BANARISUG,Bannari Amman Sugars Limited
BANCOINDIA,Banco Products (India) Limited
BANDHANBNK,Bandhan Bank Limited
BANG,Bang Overseas Limited
BANKA,Banka BioLoo Limited
BANKBARODA,Bank of Baroda Limited
BANKINDIA,Bank of India Limited
BANSALWIRE,Unknown
BANSWRAS,Banswara Syntex Limited
BARBEQUE,Barbeque-Nation Hospitality Limited
BASF,BASF India Limited
BASML,Bannari Amman Spinning Mills Ltd
BATAINDIA,Bata India Limited
BAYERCROP,Bayer CropScience Limited
BBL,Bharat Bijlee Limited
BBOX,Black Box Limited
BBTC,"The Bombay Burmah Trading Corporation, Limited"
BBTCL,B&B Triplewall Containers Limited
BCLIND,BCL Industries Limited
BCONCEPTS,Brand Concepts Limited
BDL,Bharat Dynamics Limited
BEARDSELL,Beardsell Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
BEDMUTHA,Bedmutha Industries Limited
BEL,Bharat Electronics Limited
BEML,BEML Limited
BEPL,Bhansali Engineering Polymers Limited
BERGEPAINT,Berger Paints India Limited
BESTAGRO,Best Agrolife Limited
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BGLOBAL,Bharatiya Global Infomedia Limited
BGRENERGY,BGR Energy Systems Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
BHAGERIA,Bhageria Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
BHARTIHEXA,Unknown
BHEL,Bharat Heavy Electricals Limited
BIGBLOC,Bigbloc Construction Limited
BIKAJI,Bikaji Foods International Limited
BIL,Bhartiya International Ltd.
BINANIIND,Binani Industries Limited
BIOCON,Biocon Limited
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BIRLAMONEY,Aditya Birla Money Limited
BKMINDST,BKM Industries Limited
BLAL,BEML Land Assets Limited
BLBLIMITED,BLB Limited
BLISSGVS,Bliss GVS Pharma Limited
BLKASHYAP,B.L. Kashyap and Sons Limited
BLS,BLS International Services Limited
BLSE,Unknown
BLUECHIP,Blue Chip India Limited
BLUECOAST,Blue Coast Hotels Limited
BLUEDART,Blue Dart Express Limited
BLUEJET,Blue Jet Healthcare Limited
BLUESTARCO,Blue Star Limited
BODALCHEM,Bodal Chemicals Limited
BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited
BOROLTD,Borosil Limited
BORORENEW,Borosil Renewables Limited
BOROSCI,Borosil Scientific Limited
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BPL,BPL Limited
BRIGADE,Brigade Enterprises Limited
BRITANNIA,Britannia Industries Limited
BRNL,Bharat Road Network Limited
BROOKS,Brooks Laboratories Limited
BSE,BSE Limited
BSHSL,Bombay Super Hybrid Seeds Limited
BSL,BSL Limited
BSOFT,Birlasoft Limited
BTML,Bodhi Tree Multimedia Limited
BURNPUR,Burnpur Cement Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
BVCL,Barak Valley Cements Limited
BYKE,The Byke Hospitality Limited
CALSOFT,California Software Company Limited
CAMLINFINE,Camlin Fine Sciences Limited
CAMPUS,Campus Activewear Limited
CAMS,Computer Age Management Services Limited
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Limited
CANTABIL,Cantabil Retail India Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPITALSFB,Capital Small Finance Bank Limited
CAPLIPOINT,Caplin Point Laboratories Limited
CAPTRUST,Capital Trust Limited
CARBORUNIV,Carborundum Universal Limited
CAREERP,Career Point Limited
CARERATING,CARE Ratings Limited
CARTRADE,CarTrade Tech Limited
CARYSIL,Carysil Limited
CASTROLIND,Castrol India Limited
CCHHL,Country Club Hospitality & Holidays Limited
CCL,CCL Products (India) Limited
CDSL,Central Depository Services (India) Limited
CEATLTD,CEAT Limited
CEIGALL,Unknown
CELEBRITY,Celebrity Fashions Limited
CELLO,Cello World Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTRALBK,Central Bank of India
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTURYPLY,Century Plyboards (India) Limited
CENTURYTEX,Century Textiles and Industries Limited
CERA,Cera Sanitaryware Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CESC,CESC Limited
CGCL,Capri Global Capital Limited
CGPOWER,CG Power and Industrial Solutions Limited
CHALET,Chalet Hotels Limited
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited
CHEMBOND,Chembond Chemicals Limited
CHEMCON,Chemcon Speciality Chemicals Limited
CHEMFAB,Chemfab Alkalis Limited
CHEMPLASTS,Chemplast Sanmar Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHEVIOT,Cheviot Company Limited
CHOICEIN,Choice International Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CIEINDIA,CIE Automotive India Limited
CIGNITITEC,Cigniti Technologies Limited
CINELINE,Cineline India Limited
CINEVISTA,Cinevista Limited
CIPLA,Cipla Limited
CLEAN,Clean Science and Technology Limited
CLEDUCATE,CL Educate Limited
CLSEL,Chaman Lal Setia Exports Ltd.
CMICABLES,CMI Limited
CMSINFO,CMS Info Systems Limited
COALINDIA,Coal India Limited
COASTCORP,Coastal Corporation Limited
COCHINSHIP,Cochin Shipyard Limited
COFFEEDAY,Coffee Day Enterprises Limited
COFORGE,Coforge Limited
COLPAL,Colgate-Palmolive (India) Limited
COMPINFO,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
COMSYN,Commercial Syn Bags Limited
CONCOR,Container Corporation of India Limited
CONCORDBIO,Concord Biotech Limited
CONFIPET,Confidence Petroleum India Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance and Housing Limited
CORDSCABLE,Cords Cable Industries Limited
COROMANDEL,Coromandel International Limited
COSMOFIRST,Cosmo First Limited
COUNCODOS,Country Condo's Limited
CRAFTSMAN,Craftsman Automation Limited
CREATIVE,Creative Newtech Limited
CREATIVEYE,Creative Eye Limited
CREDITACC,CreditAccess Grameen Limited
CREST,Crest Ventures Limited
CRISIL,CRISIL Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
CROWN,Crown Lifters Limited
CSBBANK,CSB Bank Limited
CSLFINANCE,CSL Finance Limited
CTE,Cambridge Technology Enterprises Limited
CUB,City Union Bank Limited
CUBEXTUB,Cubex Tubings Limited
CUMMINSIND,Cummins India Limited
CUPID,Cupid Limited
CYBERMEDIA,Cyber Media (India) Limited
CYBERTECH,CyberTech Systems and Software Limited
CYIENT,Cyient Limited
CYIENTDLM,Cyient DLM Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
DAMODARIND,Damodar Industries Limited
DANGEE,Dangee Dums Limited
DATAMATICS,Datamatics Global Services Limited
DATAPATTNS,Data Patterns (India) Limited
DAVANGERE,Davangere Sugar Company Limited
DBCORP,D. B. Corp Limited
DBL,Dilip Buildcon Limited
DBOL,Dhampur Bio Organics Limited
DBREALTY,Valor Estate Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
DCAL,Dishman Carbogen Amcis Limited
DCBBANK,DCB Bank Limited
DCI,DC Infotech and Communication Limited
DCM,DCM Limited
DCMFINSERV,DCM Financial Services Limited
DCMNVL,DCM Nouvelle Limited
DCMSHRIRAM,DCM Shriram Limited
DCMSRIND,DCM Shriram Industries Limited
DCW,DCW Limited
DCXINDIA,DCX Systems Limited
DECCANCE,Deccan Cements Limited
DEEDEV,Unknown
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DEEPENR,Deep Energy Resources Limited
DEEPINDS,Deep Industries Limited
DELHIVERY,Delhivery Limited
DELPHIFX,Delphi World Money Limited
DELTACORP,Delta Corp Limited
DELTAMAGNT,Delta Manufacturing Limited
DEN,DEN Networks Limited
DENORA,De Nora India Limited
DEVIT,Dev Information Technology Limited
DEVYANI,Devyani International Limited
DGCONTENT,Digicontent Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
DHANBANK,Dhanlaxmi Bank Limited
DHANI,Dhani Services Limited
DHANUKA,Dhanuka Agritech Limited
DHARMAJ,Dharmaj Crop Guard Limited
DHRUV,Dhruv Consultancy Services Limited
DHUNINV,Dhunseri Investments Limited
DIACABS,Diamond Power Infrastructure Limited
DIAMINESQ,Diamines and Chemicals Limited
DIAMONDYD,Prataap Snacks Limited
DICIND,DIC India Limited
DIGIDRIVE,Digidrive Distributors Limited
DIGISPICE,DiGiSPICE Technologies Limited
DIGJAMLMTD,Digjam Limited
DIL,Debock Industries Limited
DISHTV,Dish TV India Limited
DIVGIITTS,Divgi TorqTransfer Systems Limited
DIVISLAB,Divi's Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DJML,DJ Mediaprint & Logistics Limited
DLF,DLF Limited
DLINKINDIA,D-Link (India) Limited
DMART,Avenue Supermarts Limited
DMCC,DMCC Speciality Chemicals Limited
DNAMEDIA,Diligent Media Corporation Limited
DODLA,Dodla Dairy Limited
DOLATALGO,Dolat Algotech Limited
DOLLAR,Dollar Industries Limited
DOLPHIN,Dolphin Offshore Enterprises (India) Limited
DOMS,DOMS Industries Limited
DONEAR,Donear Industries Limited
DPABHUSHAN,D. P. Abhushan Limited
DPSCLTD,India Power Corporation Limited
DPWIRES,D.P. Wires Limited
DRCSYSTEMS,DRC Systems India Limited
DREAMFOLKS,Dreamfolks Services Limited
DREDGECORP,Dredging Corporation of India Limited
DRREDDY,Dr. Reddy's Laboratories Limited
DSSL,Dynacons Systems & Solutions Limited
DTIL,Dhunseri Tea & Industries Limited
DUCON,Ducon Infratechnologies Limited
DVL,Dhunseri Ventures Limited
DWARKESH,Dwarikesh Sugar Industries Limited
DYCL,Dynamic Cables Limited
DYNAMATECH,Dynamatic Technologies Limited
DYNPRO,Dynemic Products Limited
E2E,E2E Networks Limited
EASEMYTRIP,Easy Trip Planners Limited
ECLERX,eClerx Services Limited
EDELWEISS,Edelweiss Financial Services Limited
EDUCOMP,Educomp Solutions Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,E.I.D.- Parry (India) Limited
EIFFL,Euro India Fresh Foods Limited
EIHAHOTELS,EIH Associated Hotels Limited
EIHOTEL,EIH Limited
EIMCOELECO,Eimco Elecon (India) Limited
EKC,Everest Kanto Cylinder Limited
ELDEHSG,Eldeco Housing and Industries Limited
ELECON,Elecon Engineering Company Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
ELIN,Elin Electronics Limited
EMAMILTD,Emami Limited
EMAMIPAP,Emami Paper Mills Limited
EMAMIREAL,Emami Realty Limited
EMBDL,Unknown
EMCURE,Unknown
EMIL,Electronics Mart India Limited
EMKAY,Emkay Global Financial Services Limited
EMMBI,Emmbi Industries Limited
EMSLIMITED,EMS Limited
EMUDHRA,eMudhra Limited
ENDURANCE,Endurance Technologies Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
ENTERO,Entero Healthcare Solutions Limited
EPACK,EPACK Durable Limited
EPIGRAL,Epigral Limited
EPL,EPL Limited
EQUIPPP,Equippp Social Impact Technologies Limited
EQUITASBNK,Equitas Small Finance Bank Limited
ERIS,Eris Lifesciences Limited
EROSMEDIA,Eros International Media Limited
ESABINDIA,ESAB India Limited
ESAFSFB,ESAF Small Finance Bank
ESCORTS,Escorts Kubota Limited
ESSARSHPNG,Essar Shipping Limited
ESSENTIA,Integra Essentia Limited
ESTER,Ester Industries Limited
ETHOSLTD,Ethos Limited
EUROTEXIND,Eurotex Industries and Exports Limited
EVEREADY,Eveready Industries India Limited
EVERESTIND,Everest Industries Limited
EXCEL,Excel Realty N Infra Limited
EXCELINDUS,Excel Industries Limited
EXICOM,Exicom Tele-Systems Limited
EXIDEIND,Exide Industries Limited
EXPLEOSOL,Expleo Solutions Limited
EXXARO,Exxaro Tiles Limited
FACT,The Fertilisers and Chemicals Travancore Limited
FAIRCHEMOR,Fairchem Organics Limited
FAZE3Q,Faze Three Limited
FCL,Fineotex Chemical Limited
FCONSUMER,Future Consumer Limited
FCSSOFT,FCS Software Solutions Limited
FDC,FDC Limited
FEDERALBNK,The Federal Bank Limited
FEDFINA,Fedbank Financial Services Limited
FEL,Future Enterprises Limited
FELDVR,Future Enterprises Limited
FIBERWEB,Fiberweb (India) Limited
FIEMIND,Fiem Industries Limited
FILATEX,Filatex India Limited
FILATFASH,Filatex Fashions Limited
FINCABLES,Finolex Cables Limited
FINEORG,Fine Organic Industries Limited
FINOPB,Fino Payments Bank Limited
FINPIPE,Finolex Industries Limited
FIRSTCRY,Unknown
FIVESTAR,Five-Star Business Finance Limited
FLAIR,Unknown
FLEXITUFF,Flexituff Ventures International Limited
FLFL,Future Lifestyle Fashions Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited
FMNL,Future Market Networks Limited
FOCUS,Focus Lighting and Fixtures Limited
FOODSIN,Foods and Inns Limited
FORCEMOT,Force Motors Limited
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
FSC,Future Supply Chain Solutions Limited
FSL,Firstsource Solutions Limited
FUSION,Fusion Finance Limited
GABRIEL,Gabriel India Limited
GAEL,Gujarat Ambuja Exports Limited
GAIL,GAIL (India) Limited
GALAXYSURF,Galaxy Surfactants Limited
GALLANTT,Gallantt Ispat Limited
GANDHAR,Gandhar Oil Refinery (India) Limited
GANDHITUBE,Gandhi Special Tubes Limited
GANECOS,Ganesha Ecosphere Limited
GANESHBE,Ganesh Benzoplast Limited
GANESHHOUC,Ganesh Housing Corporation Limited
GANGAFORGE,Ganga Forging Limited
GANGESSECU,Ganges Securities Limited
GANGOTRI,Gangotri Textiles Limited
GARFIBRES,Garware Technical Fibres Limited
GATECH,GACM Technologies Limited
GATECHDVR,GACM Technologies Limited
GATEWAY,Gateway Distriparks Limited
GAYAHWS,Gayatri Highways Limited
GAYAPROJ,Gayatri Projects Limited
GEECEE,GeeCee Ventures Limited
GEEKAYWIRE,Geekay Wires Limited
GENCON,Generic Engineering Construction and Projects Limited
GENESYS,Genesys International Corporation Limited
GENSOL,Gensol Engineering Limited
GENUSPAPER,Genus Paper & Boards Limited
GENUSPOWER,Genus Power Infrastructures Limited
GEOJITFSL,Geojit Financial Services Limited
GEPIL,GE Power India Limited
GESHIP,The Great Eastern Shipping Company Limited
GET&D,GE T&D India Limited
GFLLIMITED,GFL Limited
GFSTEELS,Grand Foundry Limited
GHCL,GHCL Limited
GHCLTEXTIL,GHCL Textiles Limited
GICHSGFIN,GIC Housing Finance Limited
GICRE,General Insurance Corporation of India
GILLANDERS,Gillanders Arbuthnot and Company Limited
GILLETTE,Gillette India Limited
GINNIFILA,Ginni Filaments Limited
GIPCL,Gujarat Industries Power Company Limited
GKWLIMITED,GKW Limited
GLAND,Gland Pharma Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GLFL,Gujarat Lease Financing Limited
GLOBAL,Global Education Limited
GLOBALVECT,Global Vectra Helicorp Limited
GLOBE,Globe Textiles (India) Limited
GLOBUSSPR,Globus Spirits Limited
GLOSTERLTD,Gloster Limited
GLS,Glenmark Life Sciences Limited
GMBREW,G.M. Breweries Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR,GMM Pfaudler Limited
GMRINFRA,GMR Airports Infrastructure Limited
GMRP&UI,GMR Power And Urban Infra Limited
GNA,G N A Axles Limited
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited
GOACARBON,Goa Carbon Limited
GOCLCORP,GOCL Corporation Limited
GOCOLORS,Go Fashion (India) Limited
GODFRYPHLP,Godfrey Phillips India Limited
GODHA,Godha Cabcon & Insulation Limited
GODIGIT,Unknown
GODREJAGRO,Godrej Agrovet Limited
GODREJCP,Godrej Consumer Products Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
GOENKA,Goenka Diamond and Jewels Limited
GOKEX,Gokaldas Exports Limited
GOKUL,Gokul Refoils & Solvent Limited
GOKULAGRO,Gokul Agro Resources Limited
GOLDENTOBC,Golden Tobacco Limited
GOLDIAM,Goldiam International Limited
GOLDTECH,AION-TECH Solutions Limited
GOODLUCK,Goodluck India Limited
GOPAL,Gopal Snacks Limited
GOYALALUM,Goyal Aluminiums Limited
GPIL,Godawari Power & Ispat Limited
GPPL,Gujarat Pipavav Port Limited
GPTHEALTH,GPT Healthcare Limited
GPTINFRA,GPT Infraprojects Limited
GRANULES,Granules India Limited
GRAPHITE,Graphite India Limited
GRASIM,Grasim Industries Limited
GRAVITA,Gravita India Limited
GREAVESCOT,Greaves Cotton Limited
GREENLAM,Greenlam Industries Limited
GREENPANEL,Greenpanel Industries Limited
GREENPLY,Greenply Industries Limited
GREENPOWER,Orient Green Power Company Limited
GRINDWELL,Grindwell Norton Limited
GRINFRA,G R Infraprojects Limited
GRMOVER,GRM Overseas Limited
GROBTEA,The Grob Tea Company Limited
GRPLTD,GRP Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
GRWRHITECH,Garware Hi-Tech Films Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSLSU,Global Surfaces Limited
GSPL,Gujarat State Petronet Limited
GSS,GSS Infotech Limited
GTECJAINX,G-Tec Jainx Education Limited
GTL,GTL Limited
GTLINFRA,GTL Infrastructure Limited
GTPL,GTPL Hathway Limited
GUFICBIO,Gufic Biosciences Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
GUJGASLTD,Gujarat Gas Limited
GUJRAFFIA,Gujarat Raffia Industries Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
GULFPETRO,GP Petroleums Limited
GULPOLY,Gulshan Polyols Limited
GVKPIL,GVK Power & Infrastructure Limited
GVPTECH,GVP Infotech Limited
HAL,Hindustan Aeronautics Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
HAPPYFORGE,Unknown
HARDWYN,Hardwyn India Limited
HARIOMPIPE,Hariom Pipe Industries Limited
HARRMALAYA,Harrisons Malayalam Limited
HARSHA,Harsha Engineers International Limited
HATHWAY,Hathway Cable and Datacom Limited
HATSUN,Hatsun Agro Product Limited
HAVELLS,Havells India Limited
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
HBLPOWER,HBL Power Systems Limited
